"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","Asia","Southern Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,1115,983,1231,1948,,,3367,2289,2515
"Afghanistan","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,4,3.4,4.1,6.3,,,10,6.6,7.1
"Afghanistan","Asia","Southern Asia","Male Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
