"Country","Region","Indicator","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Albania","Europe","Persons Brought into Formal Contact",,,158,82,119,88,102,132,159,163,133,110,81,80,48
"Albania","Europe","Male Brought into Formal Contact",,,143,78,115,86,99,126,152,161,130,104,77,78,47
"Albania","Europe","Female Brought into Formal Contact",,,15,4,4,2,3,6,7,2,3,6,4,2,1
"Albania","Europe","Rate: Persons Brought into Formal Contact",,,5.1,2.7,3.9,2.9,3.4,4.5,5.4,5.6,4.6,3.8,2.8,2.7,1.6
"Albania","Europe","Rate: Male Brought into Formal Contact",,,9.3,5.1,7.6,5.7,6.7,8.5,10.3,11,8.8,7.1,5.2,5.3,3.2
"Albania","Europe","Rate: Female Brought into Formal Contact",,,9.3,5.1,7.6,5.8,6.7,8.6,10.4,11.1,9,7.2,5.3,5.4,3.2
"Albania","Europe","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Male over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Female over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Albania","Europe","Citizens Brought into Formal Contact",,,,,,,,,,,,,80,80,48
"Albania","Europe","Foreigners Brought into Formal Contact",,,,,,,,,,,,,1,0,0
"Albania","Europe","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,78,
"Albania","Europe","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,2,
"Albania","Europe","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,0,
"Albania","Europe","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,0,
"Albania","Europe","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Albania","Europe","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Albania","Europe","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Albania","Europe","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Albania","Europe","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Albania","Europe","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Albania","Europe","Persons Convicted for Intentional Homicide",,,128,95,92,96,,,,,56,175,166,136,95
"Albania","Europe","Male Convicted for Intentional Homicide",,,,,,,,,,,52,172,161,133,93
"Albania","Europe","Female Convicted for Intentional Homicide",,,,,,,,,,,4,3,5,3,2
"Albania","Europe","Rate: Convicted",,,4.2,3.1,3,3.2,,,,,1.9,6,5.7,4.6,3.2
"Albania","Europe","Rate: Male Convicted",,,,,,,,,,,3.5,11.7,10.9,9,6.3
"Albania","Europe","Rate: Female Convicted",,,,,,,,,,,0.3,0.2,0.3,0.2,0.1
"Algeria","Africa","Persons Brought into Formal Contact",894,653,,594,478,607,504,497,565,566,559,1649,971,,
"Algeria","Africa","Male Brought into Formal Contact",,,,530,415,554,453,454,520,535,524,1556,905,,
"Algeria","Africa","Female Brought into Formal Contact",,,,64,63,53,51,43,45,31,35,93,66,,
"Algeria","Africa","Rate: Persons Brought into Formal Contact",2.8,2,,1.8,1.4,1.7,1.4,1.4,1.5,1.5,1.5,4.2,2.4,,
"Algeria","Africa","Rate: Male Brought into Formal Contact",,,,3.1,2.4,3.1,2.5,2.5,2.8,2.8,2.7,7.9,4.5,,
"Algeria","Africa","Rate: Female Brought into Formal Contact",,,,3.2,2.4,3.2,2.6,2.5,2.9,2.9,2.8,8,4.6,,
"Algeria","Africa","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Male 0-17 Brought into Formal Contact",,,,,,,,,,,,58,44,,
"Algeria","Africa","Male 18-24 Brought into Formal Contact",,,,,,,,,,,,310,155,,
"Algeria","Africa","Male 25-29 Brought into Formal Contact",,,,,,,,,,,,416,269,,
"Algeria","Africa","Male 30-44 Brought into Formal Contact",,,,,,,,,,,,573,311,,
"Algeria","Africa","Male 45-59 Brought into Formal Contact",,,,,,,,,,,,180,104,,
"Algeria","Africa","Male over 60 Brought into Formal Contact",,,,,,,,,,,,19,21,,
"Algeria","Africa","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Female 0-17 Brought into Formal Contact",,,,,,,,,,,,5,5,,
"Algeria","Africa","Female 18-24 Brought into Formal Contact",,,,,,,,,,,,18,8,,
"Algeria","Africa","Female 25-29 Brought into Formal Contact",,,,,,,,,,,,21,25,,
"Algeria","Africa","Female 30-44 Brought into Formal Contact",,,,,,,,,,,,42,16,,
"Algeria","Africa","Female 45-59 Brought into Formal Contact",,,,,,,,,,,,8,9,,
"Algeria","Africa","Female over 60 Brought into Formal Contact",,,,,,,,,,,,0,3,,
"Algeria","Africa","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Algeria","Africa","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,638,549,,
