"Country","Region","Indicator","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Albania","Europe","Robbery-Related Homicide",4,0,4,3,3,4,3,4,7,4,4,,
"Albania","Europe","Robbery: Female Homicide",2,,2,0,0,0,1,2,1,3,2,,
"Albania","Europe","Robbery: Male Homicide",2,,2,3,3,4,2,2,6,1,2,,
"Algeria","Africa","Organized Crime-Related Homicide",,,,,,,,,,87,115,,
"Algeria","Africa","Organized Crime: Female Homicide",,,,,,,,,,21,9,,
"Algeria","Africa","Organized Crime: Male Homicide",,,,,,,,,,66,106,,
"Algeria","Africa","Robbery-Related Homicide",,,,,,,,,,48,48,,
"Algeria","Africa","Robbery: Female Homicide",,,,,,,,,,5,6,,
"Algeria","Africa","Robbery: Male Homicide",,,,,,,,,,43,42,,
"Argentina","Americas","Robbery-Related Homicide",,,,,,,,,,,453,,392
"Argentina","Americas","Robbery: Female Homicide",,,,,,,,,,,32,,28
"Argentina","Americas","Robbery: Male Homicide",,,,,,,,,,,421,,364
"Armenia","Asia","Gangs-Related Homicide",0,0,0,0,0,0,0,0,0,0,0,,
"Armenia","Asia","Organized Crime-Related Homicide",0,2,3,1,5,0,0,0,1,0,5,3,2
"Armenia","Asia","Organized Crime: Female Homicide",,,,,,,,,0,,0,0,0
"Armenia","Asia","Organized Crime: Male Homicide",,,,,,,,,1,,5,3,2
"Armenia","Asia","Robbery-Related Homicide",3,5,4,11,11,2,3,3,3,4,6,6,2
"Armenia","Asia","Robbery: Female Homicide",1,1,3,9,8,1,3,2,1,3,4,,
"Armenia","Asia","Robbery: Male Homicide",2,4,1,2,3,1,0,1,2,2,2,,
"Australia","Oceania","Gangs-Related Homicide",7,12,10,6,5,,,,,,,,
"Australia","Oceania","Gangs: Female Homicide",0,1,0,1,1,,,,,,,,
"Australia","Oceania","Gangs: Male Homicide",7,11,10,5,4,,,,,,,,
"Australia","Oceania","Robbery-Related Homicide",19,17,16,6,8,,,,,,,,
"Australia","Oceania","Robbery: Female Homicide",3,3,2,0,1,,,,,,,,
"Australia","Oceania","Robbery: Male Homicide",16,14,14,6,7,,,,,,,,
"Austria","Europe","Robbery-Related Homicide",,10,12,5,6,3,3,,,,,,
"Austria","Europe","Robbery: Female Homicide",,2,2,2,1,2,2,,,,,,
"Austria","Europe","Robbery: Male Homicide",,8,10,3,5,1,1,,,,,,
"Azerbaijan","Asia","Robbery-Related Homicide",,,,,,,,11,4,,3,8,2
"Azerbaijan","Asia","Robbery: Female Homicide",,,,,,,,7,3,,2,3,
"Azerbaijan","Asia","Robbery: Male Homicide",,,,,,,,4,1,,1,5,2
"Bahamas","Americas","Gangs-Related Homicide",19,27,27,22,29,34,70,70,,,,,
"Bahamas","Americas","Gangs: Female Homicide",1,2,2,0,0,3,3,3,,,,,
"Bahamas","Americas","Gangs: Male Homicide",18,25,25,22,29,30,66,67,,,,,
"Bahamas","Americas","Organized Crime-Related Homicide",0,0,6,10,14,22,22,5,,,,,
"Bahamas","Americas","Organized Crime: Female Homicide",,,,,,,,0,,,,,
"Bahamas","Americas","Organized Crime: Male Homicide",,,,,,,,5,,,,,
"Bahamas","Americas","Robbery-Related Homicide",5,6,13,17,11,17,15,17,,,,,
"Bahamas","Americas","Robbery: Female Homicide",0,0,1,1,2,2,1,0,,,,,
"Bahamas","Americas","Robbery: Male Homicide",5,6,12,16,9,16,14,17,,,,,
"Belize","Americas","Gangs-Related Homicide",,,,,,,,,,10,,,
"Belize","Americas","Robbery-Related Homicide",,,,,,,,,,7,,,
"Bermuda","Americas","Gangs-Related Homicide",,,,,,7,,5,,,,,
"Bermuda","Americas","Gangs: Female Homicide",,,,,,0,,0,,,,,
"Bermuda","Americas","Gangs: Male Homicide",,,,,,7,,5,,,,,
"Bermuda","Americas","Organized Crime-Related Homicide",,,,,,0,,0,,,,,
"Bermuda","Americas","Robbery-Related Homicide",,,,,,0,,0,,,,,
"Bosnia and Herzegovina","Europe","Organized Crime-Related Homicide",,,,,,5,,0,7,,,,
"Bosnia and Herzegovina","Europe","Organized Crime: Female Homicide",,,,,,1,,,0,,,,
"Bosnia and Herzegovina","Europe","Organized Crime: Male Homicide",,,,,,4,,,7,,,,
"Bosnia and Herzegovina","Europe","Robbery-Related Homicide",,,,,,2,0,0,0,0,,,
"Bosnia and Herzegovina","Europe","Robbery: Female Homicide",,,,,,1,,,,,,,
"Bosnia and Herzegovina","Europe","Robbery: Male Homicide",,,,,,1,,,,,,,
"Bulgaria","Europe","Gangs-Related Homicide",,4,5,2,5,4,2,2,1,,,,
"Bulgaria","Europe","Gangs: Female Homicide",,0,0,0,1,2,1,0,0,,,,
"Bulgaria","Europe","Gangs: Male Homicide",,4,5,2,4,2,1,2,1,,,,
"Bulgaria","Europe","Robbery-Related Homicide",,1,2,3,3,4,7,7,6,8,9,,
"Bulgaria","Europe","Robbery: Female Homicide",,0,2,1,1,3,2,2,2,4,2,,
"Bulgaria","Europe","Robbery: Male Homicide",,1,0,2,2,1,5,5,4,4,7,,
"Canada","Americas","Gangs-Related Homicide",102,101,114,137,124,94,96,94,84,82,98,,
"Canada","Americas","Gangs: Female Homicide",5,6,4,7,10,7,2,6,5,8,7,,
"Canada","Americas","Gangs: Male Homicide",97,95,110,130,114,87,94,88,79,74,91,,
"Canada","Americas","Robbery-Related Homicide",43,35,32,18,39,30,41,39,21,33,36,,
"Canada","Americas","Robbery: Female Homicide",1,5,2,3,3,2,1,4,5,2,1,,
"Canada","Americas","Robbery: Male Homicide",42,30,30,15,36,28,40,35,16,31,35,,
"China, Hong Kong Special Administrative Region","Asia","Robbery-Related Homicide",1,1,0,6,0,1,0,2,0,,,,
"China, Hong Kong Special Administrative Region","Asia","Robbery: Female Homicide",0,0,,6,,1,,0,,,,,
"China, Hong Kong Special Administrative Region","Asia","Robbery: Male Homicide",1,1,,0,,0,,2,,,,,
"China, Macao Special Administrative Region","Asia","Gangs-Related Homicide",,,,,,1,0,0,0,0,0,,
"China, Macao Special Administrative Region","Asia","Gangs: Female Homicide",,,,,,0,,,,,,,
"China, Macao Special Administrative Region","Asia","Gangs: Male Homicide",,,,,,1,,,,,,,
"China, Macao Special Administrative Region","Asia","Organized Crime-Related Homicide",,,,,,0,0,1,0,0,0,,
"China, Macao Special Administrative Region","Asia","Organized Crime: Female Homicide",,,,,,,,0,,,,,
"China, Macao Special Administrative Region","Asia","Organized Crime: Male Homicide",,,,,,,,1,,,,,
"China, Macao Special Administrative Region","Asia","Robbery-Related Homicide",,,,,,0,2,0,0,0,0,,
"China, Macao Special Administrative Region","Asia","Robbery: Female Homicide",,,,,,,2,,,,,,
"China, Macao Special Administrative Region","Asia","Robbery: Male Homicide",,,,,,,0,,,,,,
"Colombia","Americas","Gangs-Related Homicide",,,,,960,976,521,532,542,488,454,,
"Colombia","Americas","Gangs: Female Homicide",,,,,30,24,10,17,14,20,16,,
"Colombia","Americas","Gangs: Male Homicide",,,,,930,952,511,515,528,468,438,,
"Colombia","Americas","Organized Crime-Related Homicide",,,,,1994,1645,1531,1943,1789,1088,1122,,
"Colombia","Americas","Organized Crime: Female Homicide",,,,,148,109,152,173,141,79,91,,
"Colombia","Americas","Organized Crime: Male Homicide",,,,,1846,1536,1379,1770,1648,1009,1031,,
"Colombia","Americas","Robbery-Related Homicide",,606,807,766,671,680,572,583,541,479,552,,
"Colombia","Americas","Robbery: Female Homicide",,48,59,46,66,56,52,50,57,40,33,,
"Colombia","Americas","Robbery: Male Homicide",,558,748,720,605,624,520,533,484,439,519,,
"Costa Rica","Americas","Robbery-Related Homicide",,68,78,116,131,115,99,66,89,94,,,
"Costa Rica","Americas","Robbery: Female Homicide",,1,5,9,3,6,8,3,4,8,,,
"Costa Rica","Americas","Robbery: Male Homicide",,67,73,107,128,109,91,63,85,86,,,
"Croatia","Europe","Robbery-Related Homicide",,,,,,1,2,0,0,,0,,
"Croatia","Europe","Robbery: Female Homicide",,,,,,0,0,,,,,,
"Croatia","Europe","Robbery: Male Homicide",,,,,,1,2,,,,,,
"Cyprus","Asia","Gangs-Related Homicide",,,,,,,0,,,,,,
"Cyprus","Asia","Organized Crime-Related Homicide",,,,,,,0,,,,,,
"Cyprus","Asia","Robbery-Related Homicide",,,,,,,2,,,,,,
"Cyprus","Asia","Robbery: Female Homicide",,,,,,,1,,,,,,
"Cyprus","Asia","Robbery: Male Homicide",,,,,,,1,,,,,,
"Czechia","Europe","Robbery-Related Homicide",,,,,4,2,5,1,1,,,,0
"Czechia","Europe","Robbery: Female Homicide",,,,,0,1,0,1,0,,,,0
"Czechia","Europe","Robbery: Male Homicide",,,,,4,1,5,0,1,,,,0
"Dominican Republic","Americas","Organized Crime-Related Homicide",,,,,,60,63,18,,13,,,
"Dominican Republic","Americas","Organized Crime: Female Homicide",,,,,,3,,0,,2,,,
"Dominican Republic","Americas","Organized Crime: Male Homicide",,,,,,57,,18,,11,,,
"Dominican Republic","Americas","Robbery-Related Homicide",,,,,,441,381,626,,394,,,
"Dominican Republic","Americas","Robbery: Female Homicide",,,,,,17,26,36,,20,,,
"Dominican Republic","Americas","Robbery: Male Homicide",,,,,,424,355,590,,374,,,
"El Salvador","Americas","Gangs-Related Homicide",,,103,,157,,150,346,658,1479,2014,,
"El Salvador","Americas","Gangs: Female Homicide",,,11,,7,,17,28,32,71,83,,
"El Salvador","Americas","Gangs: Male Homicide",,,92,,150,,133,318,626,1408,1931,,
"El Salvador","Americas","Organized Crime-Related Homicide",,,24,29,233,622,110,90,246,,,,
"El Salvador","Americas","Organized Crime: Female Homicide",,,,,,,,3,9,,,,
"El Salvador","Americas","Organized Crime: Male Homicide",,,,,,,,87,237,,,,
"El Salvador","Americas","Robbery-Related Homicide",,,8,20,195,90,19,23,50,54,66,,
"El Salvador","Americas","Robbery: Female Homicide",,,,1,17,10,,2,0,6,7,,
"El Salvador","Americas","Robbery: Male Homicide",,,8,19,178,80,,21,50,48,59,,
"Eswatini","Africa","Gangs-Related Homicide",,,,,,,,,,,,,0
"Eswatini","Africa","Organized Crime-Related Homicide",,,,,,,,,,,,,0
"Eswatini","Africa","Robbery-Related Homicide",,,,,,,,,,,,,32
"Finland","Europe","Gangs-Related Homicide",0,0,0,0,0,0,0,0,0,0,0,0,
"Finland","Europe","Organized Crime-Related Homicide",3,1,0,1,0,1,2,0,1,1,2,1,
"Finland","Europe","Organized Crime: Female Homicide",,,,0,,0,0,,0,0,0,,
"Finland","Europe","Organized Crime: Male Homicide",,,,1,,1,2,,1,1,2,,
