"Level","Region/Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"World","World","Estimated Homicide Count",361799,378060,395542,413459,418390,417057,410001,406960,410415,408839,418900,429993,433952,428986,420608,412786,410928,405713,416912,421869,425087,435807,440958,438416,445885,444871,450719,463821
"World","World","Homicide Rate",6.8,7,7.2,7.4,7.4,7.2,7,6.9,6.9,6.7,6.8,6.9,6.9,6.7,6.5,6.3,6.2,6,6.1,6.1,6.1,6.2,6.2,6.1,6.1,6,6,6.1
"World","World","Estimated Homicide Count: Male",293242,306085,319931,333965,338377,336705,330824,328742,331159,330059,337959,347159,351469,347903,338947,333878,333343,327733,339244,338339,342218,352334,357135,354584,359767,360736,363968,377043
"World","World","Estimated Homicide Count: Female",68557,71975,75612,79494,80014,80352,79178,78218,79256,78780,80942,82834,82483,81082,81661,78908,77586,77980,77668,83529,82870,83473,83823,83832,86118,84135,86751,86779
"World","World","Male Homicide Rate",10.9,11.2,11.5,11.9,11.9,11.6,11.3,11,11,10.8,10.9,11.1,11.1,10.8,10.4,10.1,10,9.7,9.9,9.8,9.8,9.9,9.9,9.7,9.8,9.7,9.7,9.9
"World","World","Female Homicide Rate",2.6,2.7,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.7,2.7,2.6,2.6,2.5,2.4,2.4,2.3,2.3,2.5,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.3
"World","World","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,12901,12821,12420,12579,12057,11600,11711,11859,11656,12082,12582,11876,12580
"World","World","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,129941,130532,128741,134595,136298,138526,143846,147341,146038,149124,149668,152735,158161
"World","World","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,103571,104429,102160,105059,106846,108720,111126,112436,111253,112246,113033,112364,117427
"World","World","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,60881,59285,58494,61411,58970,60389,62581,61985,61566,62067,62087,64085,65225
"World","World","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,26585,26275,25918,25601,24169,22982,23070,23514,24070,24248,23365,22907,23650
"World","World","Male 0-14 Rate",,,,,,,,,,,,,,,,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2
"World","World","Male 15-29 Rate",,,,,,,,,,,,,,,,15,14.9,14.5,15,15.1,15.2,15.7,16,15.8,16.1,16.1,16.3,16.6
"World","World","Male 30-44 Rate",,,,,,,,,,,,,,,,14.7,14.6,14.2,14.4,14.5,14.7,14.8,14.9,14.6,14.5,14.5,14.2,14.7
"World","World","Male 45-59 Rate",,,,,,,,,,,,,,,,12.9,12.3,11.8,12,11.2,11.2,11.4,11,10.7,10.6,10.4,10.6,10.7
"World","World","Male 60 or more Rate",,,,,,,,,,,,,,,,8.7,8.3,8,7.7,7.1,6.5,6.3,6.2,6.2,6,5.6,5.4,5.6
"World","World","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,7543,7828,7772,7999,8305,8242,7894,8196,8194,8848,9019,8913,8960
"World","World","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,20890,21172,21633,21123,23087,23093,23710,23405,23978,24555,23470,24500,24617
"World","World","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,22193,21270,21132,21422,22551,23185,22593,23215,22754,23541,23348,24223,24287
"World","World","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,15606,15032,15226,14843,17007,16272,16834,16596,16777,17061,16576,17218,17065
"World","World","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,12676,12283,12216,12281,12579,12077,12443,12412,12129,12114,11722,11897,11850
"World","World","Female 0-14 Rate",,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9
"World","World","Female 15-29 Rate",,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.8,2.7,2.8,2.7
"World","World","Female 30-44 Rate",,,,,,,,,,,,,,,,3.2,3.1,3,3,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.2,3.1
"World","World","Female 45-59 Rate",,,,,,,,,,,,,,,,3.3,3.1,3.1,2.9,3.2,3,3,2.9,2.9,2.9,2.8,2.8,2.8
"World","World","Female 60 or more Rate",,,,,,,,,,,,,,,,3.5,3.3,3.2,3.1,3.1,2.9,2.9,2.8,2.6,2.6,2.4,2.4,2.4
"World","World","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,165253,164414,163205,170186,174511,175593,182980,185344,182512,186153,185006,189812,194877
"World","World","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,79719,79033,75968,77614,75193,76209,79654,66934,77172,71796,75187,74463,77510
"World","World","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,143149,142062,142207,144603,149069,149999,150333,164646,154699,163458,160082,162170,165782
"World","World","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,24665,25419,24333,24509,23097,23286,22840,24035,24032,24479,24596,24275,25652
