"Level","UNODC_Name","Region","Subregion","Variable","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"World","World","World","World","Estimates - Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","World","World","World","Total Population",5332841823.63636,5420693166.63636,5506369512.63636,5590096200.63636,5672353066.63636,5753539779.63636,5833660383.63636,5912688658.63636,5990848466.63636,6068665754.63636,6146743352.63636,6225149675.63636,6303888312.63636,6383148816.63636,6463111850.63636,6543901526.63636,6625603812.63636,6708188360.63636,6791554999.63636,6875538891.63636,6959981202.63636,7044835949.63636,7130017849.28571,7215286107.55556,7300309920.7193,7384845707.7193,7467354646.9193,7552065405.7193
"World","World","World","World","Male Population",2682312366.84969,2726893640.25302,2770359011.39958,2812805900.18692,2854457049.1777,2895505382.16844,2935935908.89609,2975751735.59109,3015132385.60627,3054432545.17523,3094017930.50888,3133949152.32872,3174201680.16821,3214815229.60863,3255798290.47819,3297151873.8467,3338900893.11254,3381043081.41953,3423535735.574,3466313541.47322,3509308456.75217,3552491479.11228,3595808426.72218,3639138795.5033,3682317670.65324,3725221234.63303,3766981316.02023,3814921964.36031
"World","World","World","World","Female Population",2650529456.78667,2693799526.38334,2736010501.23678,2777290300.44945,2817896017.45866,2858034397.46792,2897724474.74028,2936936923.04527,2975716081.03009,3014233209.46114,3052725422.12748,3091200523.30765,3129686632.46815,3168333587.02773,3207313560.15818,3246749652.78966,3286702919.52382,3327145279.21683,3368019264.06237,3409225350.16314,3450672745.88419,3492344470.52409,3534209422.56353,3576147312.05225,3617992250.06606,3659624473.08627,3700373330.89907,3737143441.35898
"World","World","World","World","Males 0 to 14",897573392.19398,909541365.287444,919078085.44767,926820609.880279,933594862.483896,939703461.626674,943090079.254369,947072121.657596,950621767.614249,952432287.434263,952197546.677574,952674865.775383,951406610.19814,949122591.71775,947201576.724363,946478868.524769,948478029.02659,951152271.904544,954724521.558862,959133905.000553,964251368.130939,970622289.392555,977506085.150286,984722689.879988,991882395.806689,998668419.249276,1012729333.16381,1031888500.91718
"World","World","World","World","Males 15 to 29",738521988.296557,746665021.734138,754249203.180418,761266357.1221,767868673.141807,774351756.146126,781791231.961393,788595608.913423,795486573.13077,803378155.099186,812681829.078882,822441644.835823,833471098.260062,845312266.337531,857132787.020377,868375401.657384,878478789.838763,888121579.408193,896999379.179051,904799831.166399,911341986.166669,917110717.560697,921762576.385275,925235561.249189,927507353.801191,928648433.73518,939834864.308217,953285391.8607
"World","World","World","World","Males 30 to 44",514852224.527673,529053742.324132,543924484.369753,559014534.782058,573676104.139388,587519668.741918,600920664.64403,613044135.211738,624426313.122358,635913407.045004,647900053.67351,659356162.637888,671362715.839959,683459346.578554,694823210.668011,704971496.282912,713591273.042173,721306399.630632,728322487.505253,735124368.399433,742067498.556257,748918289.127977,755923001.516725,763333545.480056,771518861.092308,780680202.890826,788810881.990362,797250502.261606
"World","World","World","World","Males 45 to 59",314399222.862264,318947965.576895,324739556.429176,331664010.203909,339585513.995338,348460392.295784,358001123.879658,368415600.665885,379682336.786269,391769244.209398,404566064.089315,416794474.605245,429537240.415594,442723297.245184,456284352.732262,470174610.6588,483377606.188944,497195377.517317,511338029.708735,525413591.999469,539151074.377562,551366449.245882,563241133.330545,574949451.439113,586845784.210169,599107627.536351,604347462.554813,608925977.211385
"World","World","World","World","Males 60 or more",216965538.969215,222685545.330416,228367681.972565,234040388.19857,239731895.417274,245470103.357939,252132809.156638,258624269.142452,264915394.952625,270939451.387378,276672436.989602,282682004.474377,288424015.454454,294197727.729611,300356363.333175,307151496.722838,314975195.016068,323267452.958844,332151317.622095,341841844.907365,352496529.520744,364473733.785167,377375630.339349,390897547.454957,404563275.742878,418116551.221396,421258774.003025,423571592.109438
"World","World","World","World","Females 0 to 14",855533976.659505,866267896.776725,874449540.530889,880788910.863033,886220380.791122,891113030.895879,893228947.215706,896111587.169205,898655311.092234,899410263.26263,897985328.102209,897672999.369728,895352198.159963,891905859.637518,888915989.755679,887318374.56193,888247514.768253,890091657.195649,892987911.445108,896710546.434816,901053407.960786,906836390.326764,913090906.057314,919684362.855621,926325815.277878,932749025.747574,946114662.621159,960566179.859463
"World","World","World","World","Females 15 to 29",709584432.925556,717617453.199657,725213646.185954,732297096.661395,738912850.628911,745279009.056528,752531095.046569,759003175.244779,765414403.486621,772695719.647565,781255309.853675,790356199.143756,800734591.648014,811874475.554328,822863683.474283,833103117.764763,842176307.880355,850625351.8306,858199663.583518,864677848.108863,869904429.125492,873999868.126685,876967588.041563,878752766.061442,879336236.537217,878806439.16677,889522960.972839,899945392.19516
"World","World","World","World","Females 30 to 44",500361493.184189,514187184.141941,528551840.51351,543087024.325968,557271394.220151,570799118.818147,584331877.481274,596723139.44297,608416144.24203,620127161.40427,632170925.424435,643438138.612482,655054453.835688,666611298.230308,677374892.363023,686940044.416584,695349451.21195,702826521.976469,709573138.985909,716064747.188224,722664217.354257,729341770.01159,736130484.587571,743266084.86472,751094607.634766,759800775.236619,767707159.008922,774210556.465835
"World","World","World","World","Females 45 to 59",313737709.948574,318635547.60392,324803340.030735,332097428.941874,340304271.271612,349315980.90436,359147008.542837,369692753.290645,380961464.895508,392991843.56449,405721983.682059,418129884.719849,431118302.05947,444545064.645343,458231534.574428,472067224.85124,485365835.095998,499062514.497274,512924455.998313,526674211.398163,540108267.011998,552580030.469583,564700933.907782,576557963.086956,588398520.955549,600357077.828376,605597947.889045,609078985.807752
"World","World","World","World","Females 60 or more",271311844.06885,277091444.661095,282992133.975695,289019839.657178,295187120.546863,301527257.793006,308485546.45389,315406267.89767,322268757.313699,329008221.582181,335591875.065101,341603301.461834,347427086.765019,353396888.960236,359927459.990763,367320891.195144,375563810.567269,384539233.716841,394334094.049519,405097997.033079,416942424.431659,429586411.589463,443319509.969303,457886135.183511,472837069.660652,487911155.10693,491430600.407101,493342327.030767
"World","World","World","World","ESTIMATES - TOTAL HOMICIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","World","World","World","Number of countries with actual data (sample)",96,92,97,96,104,106,105,108,108,113,124,134,134,149,159,157,163,164,176,173,167,157,161,140,135,124,115,73
